irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,0,24,2,0
03JUN2022,A549,xray,1,0,25,3,4
03JUN2022,A549,xray,1,0,25,3,0
03JUN2022,A549,xray,1,0,25,0,0
03JUN2022,A549,xray,1,0,25,0,0
03JUN2022,A549,xray,1,0,25,1,0
03JUN2022,A549,xray,1,0,25,2,0
03JUN2022,A549,xray,1,0,25,2,0
03JUN2022,A549,xray,1,0,25,1,0
03JUN2022,A549,xray,1,0,25,3,0
03JUN2022,A549,xray,1,0,25,1,1
03JUN2022,A549,xray,1,0,25,1,0
03JUN2022,A549,xray,1,0,7,2,0
03JUN2022,A549,xray,1,0,7,1,0
03JUN2022,A549,xray,1,0,7,3,0
03JUN2022,A549,xray,1,0,7,2,0
03JUN2022,A549,xray,1,0,20,2,1
03JUN2022,A549,xray,1,0,20,1,0
03JUN2022,A549,xray,1,0,20,1,0
03JUN2022,A549,xray,1,0,20,1,0
03JUN2022,A549,xray,1,0,20,3,0
03JUN2022,A549,xray,1,0,20,1,0
03JUN2022,A549,xray,1,0,20,2,0
03JUN2022,A549,xray,1,0,20,2,0
03JUN2022,A549,xray,1,0,20,2,0
03JUN2022,A549,xray,1,0,20,2,0
03JUN2022,A549,xray,1,0,21,4,0
03JUN2022,A549,xray,1,0,21,1,0
03JUN2022,A549,xray,1,0,21,1,0
03JUN2022,A549,xray,1,0,21,1,0
03JUN2022,A549,xray,1,0,21,2,0
03JUN2022,A549,xray,1,0,14,1,0
03JUN2022,A549,xray,1,0,14,1,0
03JUN2022,A549,xray,1,0,14,1,1
03JUN2022,A549,xray,1,0,14,2,0
03JUN2022,A549,xray,1,0,15,2,0
03JUN2022,A549,xray,1,0,15,0,0
03JUN2022,A549,xray,1,0,1,0,0
03JUN2022,A549,xray,1,0,1,2,0
03JUN2022,A549,xray,1,0,1,1,0
03JUN2022,A549,xray,1,0,1,2,0
03JUN2022,A549,xray,1,0,19,2,0
03JUN2022,A549,xray,1,0,19,2,0
03JUN2022,A549,xray,1,0,18,1,2
03JUN2022,A549,xray,1,0,18,1,0
03JUN2022,A549,xray,1,0,18,2,0
